date,crop_type,location,temperature,humidity,rainfall,soil_moisture,ph_level,nitrogen,phosphorus,potassium,yield,price,year,month,season,quarter,temp_stress,humidity_stress,weather_stress_score,soil_health_score,market_demand,price_trend
2019-01-07,Corn,Punjab,17.9,56.4,5.6,50.9,7.37,226.0,149.0,249.0,137.9,2291.53,2019,1,1,1,0,0,0,0.95875,medium,rising
2019-01-07,Corn,Haryana,21.6,54.3,2.8,61.5,6.93,141.0,79.0,140.0,131.6,1922.67,2019,1,1,1,0,0,0,0.0945833333333333,medium,rising
2019-01-07,Rice,Gujarat,25.1,51.5,3.1,57.8,7.5,269.0,118.0,225.0,108.1,2992.7,2019,1,1,1,0,0,0,0.8991666666666667,medium,rising
2019-01-08,Cotton,Rajasthan,24.8,59.0,0.1,56.1,6.39,233.0,89.0,231.0,90.8,6381.82,2019,1,1,1,0,0,0,0.59375,medium,rising
2019-01-08,Corn,Gujarat,16.7,63.8,3.7,39.8,6.85,212.0,73.0,117.0,112.2,1735.14,2019,1,1,1,0,0,0,0.16541666666666663,medium,falling
2019-01-09,Rice,Maharashtra,16.5,52.6,0.5,46.8,7.34,292.0,95.0,177.0,113.0,2841.19,2019,1,1,1,0,0,0,0.7,medium,rising
2019-01-09,Soybeans,Uttar Pradesh,15.0,44.7,0.8,60.2,7.85,145.0,116.0,185.0,81.3,3841.99,2019,1,1,1,0,0,0,0.4929166666666666,medium,falling
2019-01-10,Wheat,Uttar Pradesh,27.6,45.5,2.3,35.2,6.0,229.0,142.0,138.0,95.6,1967.34,2019,1,1,1,0,0,0,0.40166666666666667,medium,falling
2019-01-10,Wheat,Madhya Pradesh,17.5,40.0,3.6,57.3,6.9,216.0,66.0,153.0,98.1,1212.93,2019,1,1,1,0,0,0,0.2783333333333334,medium,falling
2019-01-11,Cotton,Madhya Pradesh,15.1,53.7,4.7,65.0,7.28,235.0,119.0,105.0,84.5,4835.3,2019,1,1,1,0,0,0,0.39000000000000007,medium,falling
2019-01-11,Cotton,Madhya Pradesh,17.6,58.1,0.7,49.3,6.53,207.0,102.0,191.0,95.8,6783.87,2019,1,1,1,0,0,0,0.45625000000000004,medium,rising
2019-01-12,Corn,Gujarat,24.2,52.6,0.3,51.2,7.39,269.0,46.0,205.0,108.6,1773.47,2019,1,1,1,0,0,0,0.5787499999999999,medium,rising
2019-01-13,Rice,Uttar Pradesh,25.7,56.5,4.6,39.5,6.52,194.0,103.0,105.0,126.7,3812.9,2019,1,1,1,0,0,0,0.1391666666666666,medium,rising
2019-01-13,Rice,Gujarat,24.8,47.1,4.1,56.3,7.34,240.0,53.0,165.0,96.4,3543.35,2019,1,1,1,0,0,0,0.3899999999999999,medium,rising
2019-01-13,Rice,Haryana,14.3,43.1,0.1,51.1,6.85,124.0,93.0,93.0,78.1,3212.69,2019,1,1,1,1,0,1,0.0,medium,rising
2019-01-14,Soybeans,Gujarat,26.1,32.7,0.9,47.9,6.71,252.0,54.0,37.0,105.5,4405.24,2019,1,1,1,0,1,1,0.0,medium,rising
2019-01-15,Rice,Maharashtra,16.8,59.2,1.2,54.0,6.91,217.0,159.0,149.0,88.5,2584.19,2019,1,1,1,0,0,0,0.57875,medium,falling
2019-01-15,Soybeans,Haryana,19.1,54.3,3.7,50.5,6.64,162.0,147.0,153.0,117.8,4323.89,2019,1,1,1,0,0,0,0.3808333333333333,medium,falling
2019-01-15,Corn,Madhya Pradesh,13.4,59.2,3.6,55.6,7.6,131.0,79.0,138.0,93.9,1747.23,2019,1,1,1,1,0,1,0.1466666666666666,medium,falling
2019-01-16,Wheat,Maharashtra,15.4,40.4,0.3,47.0,6.4,185.0,105.0,191.0,84.2,2204.7,2019,1,1,1,0,0,0,0.395,medium,rising
2019-01-16,Soybeans,Punjab,22.7,46.0,0.1,32.0,6.67,143.0,70.0,139.0,106.0,3890.36,2019,1,1,1,0,0,0,0.03374999999999999,medium,falling
2019-01-17,Rice,Rajasthan,16.7,46.8,2.9,49.6,6.0,201.0,109.0,85.0,77.8,3160.24,2019,1,1,1,0,0,0,0.04500000000000001,medium,rising
2019-01-17,Rice,Karnataka,17.7,53.4,2.6,62.0,6.41,267.0,86.0,153.0,112.8,2658.72,2019,1,1,1,0,0,0,0.41125,medium,falling
2019-01-18,Wheat,Punjab,23.3,53.5,0.5,41.1,7.23,107.0,65.0,139.0,116.0,1995.68,2019,1,1,1,0,0,0,0.0,medium,falling
2019-01-19,Soybeans,Haryana,19.4,44.0,0.2,41.1,7.17,181.0,85.0,126.0,121.0,4206.89,2019,1,1,1,0,0,0,0.19791666666666666,medium,falling
2019-01-20,Cotton,Uttar Pradesh,18.4,48.5,3.1,52.1,6.96,198.0,48.0,210.0,104.4,6540.29,2019,1,1,1,0,0,0,0.37083333333333335,medium,rising
2019-01-20,Wheat,Uttar Pradesh,24.7,53.3,0.3,39.0,7.03,191.0,75.0,131.0,97.6,2012.89,2019,1,1,1,0,0,0,0.18875,medium,falling
2019-01-21,Rice,Madhya Pradesh,17.4,34.1,4.1,47.6,6.0,181.0,69.0,85.0,101.1,2280.28,2019,1,1,1,0,1,1,0.0,medium,falling
2019-01-22,Rice,Rajasthan,21.2,53.6,0.3,43.7,6.33,285.0,74.0,213.0,92.6,2560.96,2019,1,1,1,0,0,0,0.60625,medium,falling
2019-01-22,Wheat,Gujarat,19.6,39.9,0.3,41.4,7.15,160.0,108.0,164.0,88.7,2359.67,2019,1,1,1,0,1,1,0.34625000000000006,medium,rising
2019-01-23,Wheat,Madhya Pradesh,21.4,66.7,0.2,49.7,6.77,148.0,100.0,131.0,110.5,1858.56,2019,1,1,1,0,0,0,0.13208333333333327,medium,falling
2019-01-23,Corn,Maharashtra,22.8,68.3,1.1,45.7,6.08,161.0,134.0,158.0,116.0,2050.57,2019,1,1,1,0,0,0,0.2816666666666667,medium,rising
2019-01-24,Rice,Maharashtra,20.0,44.2,0.6,57.6,7.23,259.0,65.0,217.0,107.4,3439.76,2019,1,1,1,0,0,0,0.6370833333333334,medium,rising
2019-01-24,Wheat,Gujarat,28.3,55.5,0.8,50.0,7.62,266.0,123.0,100.0,107.0,2185.12,2019,1,1,1,0,0,0,0.5066666666666666,medium,rising
2019-01-24,Soybeans,Uttar Pradesh,17.5,60.0,1.3,49.1,7.27,184.0,99.0,143.0,100.8,4282.85,2019,1,1,1,0,0,0,0.32125,medium,falling
2019-01-25,Soybeans,Madhya Pradesh,19.2,45.6,2.2,44.3,7.09,247.0,100.0,265.0,110.6,3373.7,2019,1,1,1,0,0,0,0.86625,medium,falling
2019-01-26,Wheat,Karnataka,20.6,55.6,10.4,43.5,7.44,219.0,133.0,88.0,107.4,2367.35,2019,1,1,1,0,0,0,0.36000000000000004,medium,rising
2019-01-26,Cotton,Rajasthan,23.4,59.7,0.0,63.9,6.55,259.0,120.0,228.0,84.7,5925.82,2019,1,1,1,0,0,0,0.7720833333333332,medium,falling
2019-01-27,Cotton,Maharashtra,12.0,49.9,4.5,41.9,7.46,232.0,90.0,104.0,81.0,7340.94,2019,1,1,1,1,0,1,0.30499999999999994,medium,rising
2019-01-28,Corn,Gujarat,25.8,45.7,1.3,40.0,6.6,191.0,41.0,134.0,97.4,1326.59,2019,1,1,1,0,0,0,0.03166666666666662,medium,falling
2019-01-28,Corn,Madhya Pradesh,16.5,59.1,0.3,42.8,7.16,287.0,121.0,191.0,100.0,2021.33,2019,1,1,1,0,0,0,0.7983333333333333,medium,rising
2019-01-28,Soybeans,Rajasthan,26.3,55.4,2.9,60.5,6.96,102.0,81.0,178.0,74.8,4923.53,2019,1,1,1,0,0,0,0.13416666666666666,medium,rising
2019-01-29,Rice,Haryana,16.8,42.3,3.0,59.9,7.23,199.0,113.0,165.0,98.9,2588.34,2019,1,1,1,0,0,0,0.47375,medium,falling
2019-01-29,Wheat,Madhya Pradesh,20.5,57.3,4.6,40.4,7.17,264.0,76.0,205.0,133.8,2028.68,2019,1,1,1,0,0,0,0.6387499999999999,medium,falling
2019-01-30,Soybeans,Gujarat,16.9,56.5,4.8,44.7,7.62,152.0,149.0,139.0,106.8,5852.33,2019,1,1,1,0,0,0,0.4383333333333334,medium,rising
2019-01-31,Soybeans,Haryana,19.6,53.4,0.9,51.2,6.91,175.0,62.0,151.0,111.8,2950.85,2019,1,1,1,0,0,0,0.15708333333333335,medium,falling
2019-01-31,Wheat,Maharashtra,18.9,49.8,0.0,62.1,7.74,87.0,72.0,59.0,93.5,1806.13,2019,1,1,1,0,0,0,0.0,medium,falling
2019-01-31,Rice,Haryana,21.2,69.6,1.7,46.7,6.16,149.0,92.0,111.0,122.4,2861.88,2019,1,1,1,0,0,0,0.0,medium,rising
2019-02-01,Soybeans,Madhya Pradesh,22.8,52.2,4.1,37.7,7.46,209.0,142.0,155.0,107.8,3965.6,2019,2,1,1,0,0,0,0.5908333333333333,medium,falling
2019-02-01,Wheat,Karnataka,16.8,51.2,0.9,51.9,7.24,318.0,90.0,71.0,100.1,1727.13,2019,2,1,1,0,0,0,0.3825,medium,falling
2019-02-01,Wheat,Haryana,19.6,46.1,3.1,53.4,6.95,222.0,24.0,177.0,117.3,2129.56,2019,2,1,1,0,0,0,0.23958333333333334,medium,rising
2019-02-02,Soybeans,Gujarat,25.5,37.3,1.2,47.5,6.37,276.0,104.0,126.0,108.1,4558.92,2019,2,1,1,0,1,1,0.39875000000000005,medium,rising
2019-02-03,Cotton,Madhya Pradesh,17.3,52.3,0.9,52.5,7.69,222.0,133.0,169.0,105.2,7812.57,2019,2,1,1,0,0,0,0.66875,medium,rising
2019-02-04,Rice,Karnataka,14.0,47.3,1.7,40.8,7.7,228.0,54.0,155.0,81.9,2806.26,2019,2,1,1,1,0,1,0.375,medium,rising
2019-02-04,Wheat,Maharashtra,15.6,37.6,0.6,37.0,7.71,183.0,117.0,145.0,110.6,1740.51,2019,2,1,1,0,1,1,0.4404166666666667,medium,falling
2019-02-05,Cotton,Madhya Pradesh,24.6,38.6,5.0,50.4,7.3,226.0,102.0,187.0,94.4,4587.71,2019,2,1,1,0,1,1,0.5866666666666667,medium,falling
2019-02-05,Corn,Karnataka,13.0,40.9,0.4,37.1,7.06,216.0,104.0,137.0,73.7,1679.35,2019,2,1,1,1,0,1,0.3716666666666666,medium,falling
2019-02-05,Rice,Punjab,16.6,41.4,2.9,48.4,7.89,150.0,89.0,152.0,125.9,2680.88,2019,2,1,1,0,0,0,0.3104166666666666,medium,falling
2019-02-06,Wheat,Rajasthan,15.6,46.7,1.8,48.5,6.62,184.0,143.0,209.0,76.3,2750.2,2019,2,1,1,0,0,0,0.6066666666666667,medium,rising
2019-02-06,Soybeans,Gujarat,22.1,38.7,1.0,55.4,7.16,197.0,115.0,129.0,91.2,5590.26,2019,2,1,1,0,1,1,0.3466666666666667,medium,rising
2019-02-06,Wheat,Uttar Pradesh,17.5,25.0,0.1,52.5,7.39,298.0,86.0,196.0,101.7,2850.19,2019,2,1,1,0,1,1,0.7545833333333333,medium,rising
2019-02-07,Wheat,Gujarat,17.7,28.8,0.3,65.2,6.12,145.0,132.0,113.0,116.6,2564.86,2019,2,1,1,0,1,1,0.09,medium,rising
2019-02-07,Cotton,Haryana,12.8,44.8,1.3,67.5,7.8,234.0,76.0,148.0,99.2,6629.11,2019,2,1,1,1,0,1,0.45249999999999996,medium,rising
2019-02-07,Wheat,Punjab,20.7,38.3,0.4,62.4,6.45,202.0,44.0,126.0,126.8,1798.96,2019,2,1,1,0,1,1,0.023750000000000028,medium,falling
2019-02-08,Rice,Gujarat,18.7,45.2,0.2,44.7,6.84,210.0,69.0,114.0,96.4,3547.82,2019,2,1,1,0,0,0,0.1358333333333333,medium,rising
2019-02-08,Corn,Punjab,14.7,50.2,1.8,52.6,6.85,266.0,110.0,158.0,98.8,1522.65,2019,2,1,1,1,0,1,0.5604166666666666,medium,falling
2019-02-09,Rice,Karnataka,11.9,34.1,1.6,38.5,7.93,164.0,106.0,90.0,74.2,3123.49,2019,2,1,1,1,1,2,0.2004166666666666,medium,rising
2019-02-09,Cotton,Maharashtra,10.0,50.7,0.7,48.0,6.49,155.0,120.0,73.0,90.1,8211.18,2019,2,1,1,1,0,1,0.0,medium,rising
2019-02-10,Soybeans,Haryana,13.8,48.1,0.3,38.9,7.54,109.0,68.0,230.0,97.7,4798.55,2019,2,1,1,1,0,1,0.35416666666666663,medium,rising
2019-02-10,Cotton,Rajasthan,21.3,41.2,3.0,55.0,7.38,253.0,97.0,167.0,73.4,7216.04,2019,2,1,1,0,0,0,0.5808333333333333,medium,rising
2019-02-10,Soybeans,Maharashtra,18.5,49.2,0.9,47.6,6.77,252.0,57.0,183.0,104.6,4530.79,2019,2,1,1,0,0,0,0.42208333333333325,medium,rising
2019-02-11,Soybeans,Maharashtra,15.7,38.3,2.1,54.6,6.9,203.0,105.0,154.0,94.0,5041.24,2019,2,1,1,0,1,1,0.37916666666666676,medium,rising
2019-02-11,Rice,Karnataka,15.1,44.4,0.7,45.9,7.21,217.0,104.0,105.0,122.2,3316.51,2019,2,1,1,0,0,0,0.28625,medium,rising
2019-02-11,Corn,Uttar Pradesh,16.4,39.5,0.4,48.8,6.99,193.0,107.0,127.0,106.9,1694.01,2019,2,1,1,0,1,1,0.28208333333333335,medium,falling
2019-02-12,Cotton,Punjab,16.4,44.0,0.2,60.2,7.74,130.0,130.0,148.0,126.1,6135.92,2019,2,1,1,0,0,0,0.365,medium,falling
2019-02-12,Soybeans,Punjab,14.9,47.5,1.4,44.1,6.57,315.0,111.0,165.0,99.0,4284.16,2019,2,1,1,1,0,1,0.6745833333333333,medium,falling
2019-02-13,Soybeans,Rajasthan,17.0,39.3,1.9,42.5,6.4,190.0,83.0,135.0,87.7,5094.83,2019,2,1,1,0,1,1,0.14750000000000005,medium,rising
2019-02-13,Cotton,Haryana,20.7,38.5,0.3,61.0,7.01,187.0,98.0,159.0,105.0,4907.64,2019,2,1,1,0,1,1,0.34624999999999995,medium,falling
2019-02-14,Rice,Maharashtra,14.4,51.1,1.4,49.4,6.95,250.0,151.0,84.0,75.0,2254.69,2019,2,1,1,1,0,1,0.42291666666666666,medium,falling
2019-02-14,Cotton,Haryana,18.1,35.9,0.6,53.6,7.61,240.0,126.0,131.0,96.7,7206.56,2019,2,1,1,0,1,1,0.5537500000000001,medium,rising
2019-02-15,Wheat,Punjab,16.7,35.1,1.4,57.5,6.72,241.0,127.0,165.0,129.1,2287.63,2019,2,1,1,0,1,1,0.5616666666666666,medium,rising
2019-02-16,Wheat,Uttar Pradesh,13.4,49.6,0.5,58.3,7.14,208.0,92.0,135.0,87.5,2114.6,2019,2,1,1,1,0,1,0.31499999999999995,medium,falling
2019-02-17,Wheat,Haryana,21.3,40.0,2.3,53.0,7.08,235.0,134.0,151.0,127.8,1933.35,2019,2,1,1,0,0,0,0.5683333333333334,medium,falling
2019-02-18,Rice,Punjab,10.8,40.8,4.0,59.7,7.13,114.0,88.0,184.0,97.5,2338.24,2019,2,1,1,1,0,1,0.22874999999999998,medium,falling
2019-02-18,Wheat,Punjab,14.4,29.4,0.9,34.0,6.96,192.0,90.0,108.0,100.5,1894.76,2019,2,1,1,1,1,2,0.1558333333333333,medium,falling
2019-02-19,Soybeans,Maharashtra,12.7,44.1,0.2,60.5,6.9,211.0,147.0,153.0,72.9,4475.37,2019,2,1,1,1,0,1,0.5358333333333334,medium,rising
2019-02-19,Wheat,Gujarat,25.7,32.6,2.4,49.6,6.32,224.0,131.0,220.0,97.6,1980.84,2019,2,1,1,0,1,1,0.6658333333333334,medium,falling
2019-02-20,Wheat,Rajasthan,16.5,37.2,7.0,47.6,7.45,253.0,101.0,225.0,90.3,2321.08,2019,2,1,1,0,1,1,0.79625,medium,rising
2019-02-20,Corn,Karnataka,12.3,52.1,2.0,48.1,6.83,214.0,126.0,100.0,68.8,1650.93,2019,2,1,1,1,0,1,0.2879166666666667,medium,falling
2019-02-20,Rice,Haryana,20.3,46.8,0.6,65.3,7.23,196.0,124.0,227.0,128.3,2715.15,2019,2,1,1,0,0,0,0.7095833333333335,medium,falling
2019-02-21,Soybeans,Madhya Pradesh,15.9,31.2,3.2,49.3,7.4,145.0,134.0,156.0,94.0,4110.02,2019,2,1,1,0,1,1,0.4,medium,falling
2019-02-21,Rice,Karnataka,10.2,44.4,0.5,38.9,6.84,254.0,122.0,127.0,77.5,2720.13,2019,2,1,1,1,0,1,0.4658333333333333,medium,rising
2019-02-21,Corn,Gujarat,21.3,36.2,1.6,52.1,7.5,130.0,105.0,106.0,92.6,1471.29,2019,2,1,1,0,1,1,0.11166666666666665,medium,falling
2019-02-22,Corn,Karnataka,17.9,50.3,0.1,52.0,6.88,117.0,122.0,117.0,107.9,1761.36,2019,2,1,1,0,0,0,0.09499999999999999,medium,rising
2019-02-22,Wheat,Madhya Pradesh,19.7,46.0,0.4,51.1,7.41,170.0,48.0,195.0,105.1,1891.07,2019,2,1,1,0,0,0,0.3070833333333334,medium,falling
2019-02-23,Corn,Gujarat,20.7,49.0,3.7,57.2,6.72,193.0,150.0,112.0,96.8,2347.79,2019,2,1,1,0,0,0,0.3416666666666666,medium,rising
2019-02-24,Corn,Karnataka,10.9,47.9,0.2,46.9,8.26,196.0,91.0,153.0,92.8,1692.7,2019,2,1,1,1,0,1,0.48166666666666663,medium,falling
2019-02-24,Cotton,Punjab,11.9,43.2,2.5,59.1,6.83,119.0,92.0,137.0,100.4,7770.93,2019,2,1,1,1,0,1,0.060416666666666674,medium,rising
2019-02-25,Rice,Uttar Pradesh,16.3,48.5,2.4,49.4,7.55,220.0,95.0,124.0,103.6,4336.23,2019,2,1,1,0,0,0,0.36958333333333326,medium,rising
2019-02-25,Wheat,Karnataka,17.6,52.0,0.8,49.8,7.27,221.0,92.0,99.0,91.7,2370.05,2019,2,1,1,0,0,0,0.2437499999999999,medium,rising
2019-02-26,Rice,Uttar Pradesh,14.6,37.8,0.1,55.1,6.06,221.0,126.0,174.0,82.7,3041.23,2019,2,1,1,1,1,2,0.4558333333333333,medium,rising
2019-02-27,Wheat,Punjab,16.8,47.3,1.3,55.1,7.52,251.0,106.0,186.0,127.0,1828.44,2019,2,1,1,0,0,0,0.6866666666666666,medium,falling
2019-02-27,Wheat,Uttar Pradesh,20.4,55.8,1.3,34.3,7.18,129.0,103.0,129.0,108.6,2367.27,2019,2,1,1,0,0,0,0.13916666666666663,medium,rising
2019-02-27,Soybeans,Gujarat,16.9,48.7,0.3,55.1,6.24,160.0,123.0,170.0,108.1,4433.1,2019,2,1,1,0,0,0,0.3025,medium,rising
2019-02-28,Cotton,Haryana,16.8,38.6,0.1,59.5,6.4,149.0,84.0,136.0,138.0,4539.63,2019,2,1,1,0,1,1,0.05166666666666671,medium,falling
2019-02-28,Soybeans,Madhya Pradesh,15.9,38.8,0.4,55.3,7.79,201.0,104.0,123.0,97.9,5294.84,2019,2,1,1,0,1,1,0.37875000000000003,medium,rising
2019-03-01,Rice,Rajasthan,17.8,35.6,1.7,36.2,7.39,166.0,90.0,119.0,92.8,2401.61,2019,3,2,1,0,1,1,0.18125,low,falling
2019-03-01,Wheat,Uttar Pradesh,17.4,30.9,0.4,58.3,6.63,173.0,95.0,116.0,101.7,1523.35,2019,3,2,1,0,1,1,0.11041666666666664,low,falling
2019-03-02,Rice,Rajasthan,18.2,27.8,0.2,53.0,7.11,211.0,150.0,167.0,76.7,2792.87,2019,3,2,1,0,1,1,0.61875,low,rising
2019-03-02,Rice,Gujarat,20.8,36.0,4.2,64.0,7.37,214.0,71.0,163.0,93.7,2127.26,2019,3,2,1,0,1,1,0.38208333333333344,low,falling
2019-03-03,Soybeans,Madhya Pradesh,11.4,48.4,0.4,48.9,7.81,228.0,60.0,146.0,70.6,4052.32,2019,3,2,1,1,0,1,0.37875,low,falling
2019-03-03,Cotton,Karnataka,12.7,43.2,0.8,54.0,6.0,207.0,140.0,210.0,69.4,5866.16,2019,3,2,1,1,0,1,0.58,low,falling
2019-03-03,Corn,Haryana,16.7,38.6,0.6,60.3,6.48,230.0,82.0,145.0,102.0,1469.26,2019,3,2,1,0,1,1,0.2875000000000001,low,falling
2019-03-04,Cotton,Haryana,12.7,38.9,1.0,47.6,7.33,134.0,130.0,166.0,112.0,6028.54,2019,3,2,1,1,1,2,0.38375,low,falling
2019-03-04,Soybeans,Haryana,13.2,51.3,1.9,64.2,6.81,188.0,43.0,132.0,90.2,3373.69,2019,3,2,1,1,0,1,0.05041666666666661,low,falling
2019-03-05,Corn,Gujarat,17.6,42.5,2.2,42.5,7.85,166.0,104.0,45.0,101.0,1538.59,2019,3,2,1,0,0,0,0.03874999999999995,low,falling
2019-03-05,Wheat,Karnataka,13.5,25.0,3.9,35.0,6.74,289.0,109.0,178.0,78.2,2029.49,2019,3,2,1,1,1,2,0.6675,low,falling
2019-03-05,Soybeans,Punjab,10.0,33.9,1.6,50.7,7.5,189.0,116.0,131.0,96.8,3607.51,2019,3,2,1,1,1,2,0.37916666666666665,low,falling
2019-03-06,Wheat,Punjab,18.4,39.2,0.7,48.1,6.88,249.0,79.0,88.0,114.2,1733.7,2019,3,2,1,0,1,1,0.18499999999999994,low,falling
2019-03-07,Cotton,Maharashtra,10.1,39.9,0.4,52.7,6.95,249.0,71.0,189.0,71.1,5988.31,2019,3,2,1,1,1,2,0.50375,low,falling
2019-03-07,Corn,Gujarat,12.6,37.0,1.7,53.0,6.55,270.0,110.0,186.0,79.5,1772.76,2019,3,2,1,1,1,2,0.62625,low,rising
2019-03-08,Rice,Gujarat,22.5,25.0,0.7,55.0,6.18,230.0,80.0,87.0,101.5,2201.45,2019,3,2,1,0,1,1,0.04999999999999996,low,falling
2019-03-08,Rice,Maharashtra,11.3,38.5,0.2,64.7,6.88,127.0,81.0,196.0,84.7,2385.91,2019,3,2,1,1,1,2,0.24666666666666665,low,falling
2019-03-08,Soybeans,Gujarat,18.5,37.4,0.6,50.6,7.93,176.0,110.0,78.0,108.4,2575.25,2019,3,2,1,0,1,1,0.20374999999999993,low,falling
2019-03-09,Rice,Punjab,15.0,49.4,1.8,53.1,6.24,208.0,158.0,201.0,92.2,2259.54,2019,3,2,1,0,0,0,0.6425000000000001,low,falling
2019-03-10,Rice,Punjab,11.6,39.3,3.2,64.0,6.08,245.0,82.0,178.0,81.2,2496.51,2019,3,2,1,1,1,2,0.385,low,falling
2019-03-10,Wheat,Uttar Pradesh,13.6,36.2,1.4,58.6,7.65,182.0,116.0,181.0,71.1,2028.84,2019,3,2,1,1,1,2,0.5470833333333334,low,falling
2019-03-10,Rice,Uttar Pradesh,19.8,48.0,0.6,48.0,6.62,138.0,43.0,126.0,102.7,3076.45,2019,3,2,1,0,0,0,0.0,low,rising
2019-03-11,Rice,Rajasthan,13.3,30.2,0.8,34.3,6.95,170.0,71.0,147.0,77.4,2898.98,2019,3,2,1,1,1,2,0.16625,low,rising
2019-03-11,Cotton,Madhya Pradesh,10.5,37.2,1.4,59.1,7.0,188.0,148.0,114.0,90.1,5774.24,2019,3,2,1,1,1,2,0.3641666666666667,low,falling
2019-03-11,Wheat,Uttar Pradesh,18.6,27.8,1.6,47.9,6.66,163.0,80.0,216.0,94.1,1668.47,2019,3,2,1,0,1,1,0.37250000000000005,low,falling
2019-03-12,Cotton,Uttar Pradesh,11.3,28.5,0.7,33.6,6.56,268.0,86.0,85.0,77.0,6281.18,2019,3,2,1,1,1,2,0.20583333333333328,low,falling
2019-03-12,Rice,Gujarat,14.6,49.0,0.1,36.3,6.54,252.0,123.0,187.0,76.3,2506.0,2019,3,2,1,1,0,1,0.6266666666666667,low,falling
2019-03-13,Soybeans,Maharashtra,10.0,49.1,1.2,70.7,6.35,102.0,104.0,82.0,84.4,3699.57,2019,3,2,1,1,0,1,0.0,low,falling
2019-03-14,Corn,Haryana,13.7,39.6,1.2,54.0,6.9,217.0,75.0,147.0,78.7,1445.1,2019,3,2,1,1,1,2,0.2908333333333334,low,falling
2019-03-14,Corn,Gujarat,19.4,35.2,3.0,54.3,7.3,234.0,109.0,117.0,112.0,1673.15,2019,3,2,1,0,1,1,0.3966666666666666,low,falling
2019-03-15,Corn,Maharashtra,15.1,35.6,0.2,50.1,7.56,148.0,73.0,139.0,96.5,1484.54,2019,3,2,1,0,1,1,0.16749999999999995,low,falling
2019-03-16,Corn,Punjab,22.9,43.3,1.1,48.8,7.19,171.0,59.0,193.0,126.7,1172.59,2019,3,2,1,0,0,0,0.3120833333333334,low,falling
2019-03-16,Wheat,Maharashtra,10.9,28.5,5.7,62.4,7.18,169.0,110.0,114.0,68.8,2349.17,2019,3,2,1,1,1,2,0.21249999999999997,low,rising
2019-03-17,Wheat,Karnataka,16.7,53.3,12.6,66.4,6.13,147.0,123.0,164.0,110.8,2701.15,2019,3,2,1,0,0,0,0.23625,low,rising
2019-03-17,Wheat,Punjab,14.6,46.8,0.1,58.7,6.77,181.0,155.0,146.0,103.5,1768.1,2019,3,2,1,1,0,1,0.44791666666666663,low,falling
2019-03-18,Wheat,Madhya Pradesh,14.8,34.0,7.2,54.7,6.82,89.0,141.0,107.0,87.6,2444.35,2019,3,2,1,1,1,2,0.04750000000000004,low,rising
2019-03-18,Wheat,Karnataka,16.9,30.3,0.2,50.1,7.19,220.0,118.0,261.0,92.7,1881.13,2019,3,2,1,0,1,1,0.8579166666666667,low,falling
2019-03-19,Rice,Rajasthan,11.9,45.8,0.1,39.2,7.06,290.0,149.0,202.0,69.3,3785.69,2019,3,2,1,1,0,1,0.9233333333333333,low,rising
2019-03-19,Soybeans,Haryana,11.2,42.7,0.4,59.4,7.15,263.0,109.0,104.0,81.1,3197.82,2019,3,2,1,1,0,1,0.40708333333333335,low,falling
2019-03-19,Rice,Uttar Pradesh,17.0,45.7,2.5,47.5,7.34,216.0,66.0,189.0,110.9,1988.58,2019,3,2,1,0,0,0,0.45333333333333337,low,falling
